,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
0,AGILENT TECHNOLOGIES INC,A,1090872,00846U101,NYSE,FALSE,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,California; U.S.A,81e134d27f5a89e6e88c39798d1497b0
1,ALCOA CORP,AA,1675149,13872106,NYSE,FALSE,Domestic Common Stock,Basic Materials,Aluminum,3334,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,USD,Pennsylvania; U.S.A,06b2234c0416841fec48880d3a0fa76d
2,ADVANCED ACCELERATOR APPLICATIONS SA,AAAP,1611787,00790T100,NASDAQ,TRUE,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,EUR,France,cf1185a716b218ee7db7d812695108eb
3,ARES ACQUISITION CORP,AAC,1829432,G33032106,NYSE,FALSE,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,3fd560f6b81a7525affb90b150a56f5d
4,AMERICAN AIRLINES GROUP INC,AAL,6201,02376R102,NASDAQ,FALSE,Domestic Common Stock,Industrials,Airlines,4512,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Scheduled,,Transportation,USD,Texas; U.S.A,2abec5e05ce206a98025c65fc1e5c645
5,ALTISOURCE ASSET MANAGEMENT CORP,AAMC,1555074,02153X108,NYSEMKT,FALSE,Domestic Common Stock,Financial Services,Mortgage Finance,6500,Finance Insurance And Real Estate,Real Estate,,Real Estate,USD,Virgin Islands; U.S.,21b1152d52ce7419de10c97be1fcbb16
6,ATLANTIC AMERICAN CORP,AAME,8177,48209100,NASDAQ,FALSE,Domestic Common Stock,Financial Services,Insurance - Life,6311,Finance Insurance And Real Estate,Life Insurance,,Insurance,USD,Georgia; U.S.A,23d764ba243f7aaf232259bf31fbf736
7,AARON'S COMPANY INC,AAN,1821393,00258W108,NYSE,FALSE,Domestic Common Stock,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,,Business Services,USD,Georgia; U.S.A,6a266c7d07491f8c7ea768c1008bc160
8,APPLIED OPTOELECTRONICS INC,AAOI,1158114,03823U102,NASDAQ,FALSE,Domestic Common Stock,Technology,Communication Equipment,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,Texas; U.S.A,df10006b0d3c55cef60a9a6fc26769e2
9,AAON INC,AAON,824142,360206,NASDAQ,FALSE,Domestic Common Stock,Basic Materials,Building Products & Equipment,3585,Manufacturing,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,,Machinery,USD,Oklahoma; U.S.A,c0bf46c6ecc40b80b63e1c4ef497d6ef
10,ADVANCED ACCELERATOR APPLICATIONS SA,AAAP,1611787,00790T100,NASDAQ,TRUE,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,EUR,France,cf1185a716b218ee7db7d812695108eb
11,APPLE INC,AAPL,320193,37833100,NASDAQ,FALSE,Domestic Common Stock,Technology,Consumer Electronics,3571,Manufacturing,Electronic Computers,,Computers,USD,California; U.S.A,a43c3ffca9b4a0be9cee4fa1120832a2
12,AMERICAN ASSETS TRUST INC,AAT,1500217,24013104,NYSE,FALSE,Domestic Common Stock,Real Estate,REIT - Diversified,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,4ce95330e7afca97522ea6983455aa57
13,ALMADEN MINERALS LTD,AAU,1015647,020283305 020283107,NYSEMKT,FALSE,ADR Common Stock,Basic Materials,Gold,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,80ac18a59ea33ac49a4b4eb0c508e78c
14,ADVANTAGE OIL & GAS LTD,AAVVF,1468079,00765F101 00762L101,NYSE,TRUE,Canadian Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,CAD,Alberta; Canada,7aca922ad85c39d66c222c18f0aa92a2
15,ATLAS AIR WORLDWIDE HOLDINGS INC,AAWW,1135185,49164205,NASDAQ,TRUE,Domestic Common Stock,Industrials,Airports & Air Services,4522,Transportation Communications Electric Gas And Sanitary Service,Air Transportation Nonscheduled,,Transportation,USD,New York; U.S.A,568d698a0356b3f659e8dd12dadf0715
16,ADMIRALTY BANCORP INC,AAAB,1066808,7231103,NASDAQ,TRUE,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Florida; U.S.A,3daf92ec6639eede5c282d6cd20f8342
17,ABACAN RESOURCE CORP,ABACQ,1001084,2919108,NASDAQ,TRUE,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Alberta; Canada,2f3d44086aa6f43b526a2e6f3a8e1257
18,ABAXIS INC,ABAX,881890,2567105,NASDAQ,TRUE,Domestic Common Stock,Healthcare,Diagnostics & Research,3829,Manufacturing,Measuring & Controlling Devices Nec,,Measuring and Control Equipment,USD,California; U.S.A,1f69b755a8c11cba72240d6de2cac6e6
19,ABINGTON BANCORP INC,ABBC,1397533,00350L109 00350P100 00350R106,NASDAQ,TRUE,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,USD,Pennsylvania; U.S.A,9bb9649801dedbbdfa5b71c1fd9ab19f
20,ABBVIE INC,ABBV,1551152,00287Y109,NYSE,FALSE,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,Illinois; U.S.A,7f3378559e802bc46208d5acc225ea80
21,ACCESS ANYTIME BANCORP INC,AABC,1024015,00431F105,NASDAQ,TRUE,Domestic Common Stock,Financial Services,Banks - Regional,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,USD,New Mexico; U.S.A,800e1a7171119770ea03175a8f58830a
22,AMERIS BANCORP,ABCB,351569,03076K108 000400101,NASDAQ,FALSE,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,Georgia; U.S.A,b142fa60786e019ecdab6e716c86b4b1
23,CAMBIUM LEARNING GROUP INC,ABCD,1466815,13201A107,NASDAQ,TRUE,Domestic Common Stock,Consumer Defensive,Education & Training Services,2741,Manufacturing,Miscellaneous Publishing,,Printing and Publishing,USD,Texas; U.S.A,dc08fdc492bc45c431fa7610d8b86746
24,ADVISORY BOARD CO,ABCO,1157377,00762W107,NASDAQ,TRUE,Domestic Common Stock,Healthcare,Health Information Services,8741,Services,Services-Management Services,,Business Services,USD,District Of Columbia; U.S.A,a97dda437faa70ea22f76df001750311
25,ALCENTRA CAPITAL CORP,ABDC,1578620,01374T102,NASDAQ,TRUE,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,New York; U.S.A,0ca9a25cfeca669712850a47279cebbe
26,ABEONA THERAPEUTICS INC,ABEO,318306,00289Y107 00289Y206 72754H109 00431M209 00431M308,NASDAQ,FALSE,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,2f858ca871b0f26c6a5f29412aa26ebf
27,ABEONA THERAPEUTICS INC,ABEO,318306,00289Y107 00289Y206 72754H109 00431M209 00431M308,NASDAQ,FALSE,Domestic Common Stock Primary Class,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,2f858ca871b0f26c6a5f29412aa26ebf
28,ABEONA THERAPEUTICS INC,ABEOW,318306,00289Y115 72754H117,NASDAQ,TRUE,Domestic Common Stock Warrant,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,a6c9c0d94b348028fb5fc4cfa8af39ef
29,AMBEV SA,ABEV,1565025,02319V103,NYSE,FALSE,ADR Common Stock,Consumer Defensive,Beverages - Brewers,2080,Manufacturing,Beverages,,Beer & Liquor,BRL,Brazil,4f42b62377227bed824004566e346ffb
